,0-0,1-0,0-1,2-0,0-2
adjectives/ adverbs expressing possibility,0.06697824708782811,-0.35853749244434924,0.7428114031789831,-0.18508664877333278,-0.26616550904913117
collaborative finishes,0.37083854656207266,-0.2139574793055365,-0.05387587292587582,-0.04143306373808061,-0.06157213059258051
noun & verb collocation in proper form,0.07723509458535663,-0.6163760522359429,0.17862729602412072,0.4045390428465181,-0.044025381220052576
question-based responses,0.33881847525372083,0.38488422050859,-0.3328716060491425,-0.21729021361997425,-0.17354087609319227
tense choice to indicate interactive aims,-0.657130900115817,0.08025377728724786,0.0242993673987934,0.05416946799132705,0.49840828743844723
formulaic responses,-0.2683986500965514,-0.12156390493672621,0.8490442339298686,-0.2379587653586888,-0.22112291353790248
backchannels,0.4885419951160241,0.38648013492879885,-0.07795561483303584,-0.3864379909537092,-0.4106285242580788
impersonal subject + non-factive verb + NP,0.0,0.0,0.0,0.0,0.0
negotiation of meaning,0.41985004801199616,-0.23467867294476463,-0.3343896736433074,0.4056002209323527,-0.2563819223562795
subordinate clauses,1.1847347492082085,-0.35220613047529914,-0.3476171536893735,-0.18233008854707328,-0.3025813764964688
reference word,0.28848019593667484,-0.009254083541179679,-0.0320734070197127,0.03851286386873295,-0.28566556924452857
feedback in the next turn,0.1042928621590582,0.4250237737571983,-0.24799491918082475,-0.14014127355662984,-0.14118044317880288
routinized resources,-0.1944299464143336,0.5056054817834071,-0.09461569915732382,-0.15301887207340883,-0.06354096413834069
code-switching for communicative purposes,-0.5296459131965001,0.6958299518145871,-0.05860129039007328,-0.06976008006496473,-0.03782266816304913
intercept,1.8648233038531856,0.015130285048662949,-0.815221179453352,-1.2726159589772057,0.20788354952869165
