,0,1,2
adjectives/ adverbs expressing possibility,0.37939239286777854,-0.24475567476153146,-0.13463671810624664
collaborative finishes,-0.3265036563963067,0.5796852880355846,-0.25318163163927715
noun & verb collocation in proper form,0.23519206463758593,-0.1917890359407912,-0.04340302869678986
question-based responses,0.6412053729241933,-0.15166826701112798,-0.4895371059130641
tense choice to indicate interactive aims,-0.020772331027275777,-0.6780274500292194,0.6987997810564981
formulaic responses,0.5060667603052943,-0.17697365004866966,-0.3290931102566231
backchannels,0.1030772674066319,0.07635071573694899,-0.1794279831435784
impersonal subject + non-factive verb + NP,0.0,0.0,0.0
negotiation of meaning,0.07947862852542369,-0.3523920658268552,0.27291343730143197
subordinate clauses,-0.08271137639405426,-0.4612888354330804,0.5440002118271374
reference word,0.34827808959455336,0.41176363026534163,-0.7600417198598716
feedback in the next turn,0.31806811127235646,-0.2853397500790911,-0.03272836119326483
routinized resources,0.2534417051423101,-0.1396740749147627,-0.1137676302275471
code-switching for communicative purposes,0.20132408882467492,-0.11638828032603464,-0.08493580849864091
intercept,1.06416198617052,-1.6257402260803826,0.5615782399098703
