,0-0,0-1,1-0,1-1,2-0
adjectives/ adverbs expressing possibility,0.36636138556084524,-0.553343614682955,0.3270125008828463,-0.11903597583095042,-0.02099429592978772
collaborative finishes,0.059526915886186284,0.3063615570674526,-0.2802149311358126,-0.06390850043748089,-0.02176504138034531
noun & verb collocation in proper form,0.43765669860123757,0.34693919776317367,-0.09126632401710327,-0.5534089480902221,-0.13992062425708432
question-based responses,0.4593329928445678,0.039515733682385555,-0.7530563587069508,0.32903706076113437,-0.07482942858113632
tense choice to indicate interactive aims,0.17068982491380727,-0.6955135398267766,0.43060699831302773,0.21920527646056867,-0.12498855986062794
formulaic responses,-0.7141084503038708,-0.017250532933360676,0.33332236795229,0.6560763299166652,-0.2580397146317238
backchannels,0.3579986057473444,0.043708191747529664,-0.2638810914087754,0.003648730484624782,-0.14147443657072217
impersonal subject + non-factive verb + NP,0.0,0.0,0.0,0.0,0.0
negotiation of meaning,0.25400219370154853,-0.1754738984302402,-0.09790674853272884,-0.3406187904584003,0.35999724371982006
subordinate clauses,0.00454297348023291,0.49802899270926015,-0.632942385250522,0.19211926819199207,-0.06174884913096335
reference word,0.4481240820679721,0.027581590567517248,0.20966061199320601,-0.20718978524257478,-0.47817649938611706
feedback in the next turn,0.00798030903547806,0.08630806912172355,-0.5818806050751967,-0.34570200831132947,0.8332942352293263
routinized resources,0.5388168688455154,-0.31403619011114,-0.14690840359227042,-0.04711220101194329,-0.030760074130161782
code-switching for communicative purposes,0.3419862979969252,-0.2519810422791326,-0.06573182397993797,-0.012778151889438647,-0.011495279848414966
intercept,1.043452853354281,0.5847410826846148,0.4619743896086056,-0.5900800012765374,-1.5000883243709804
