,0,1,3
adjectives/ adverbs expressing possibility,-0.3657877125154857,-0.36706040905311554,0.7328481215686008
collaborative finishes,0.21946195460061696,-0.20186106227403533,-0.017600892326582258
noun & verb collocation in proper form,0.29065711237866027,-0.052946189076185264,-0.2377109233024756
question-based responses,0.6669108956270662,-0.6073220168478051,-0.05958887877926143
tense choice to indicate interactive aims,0.6098690153031788,-0.31521621134795935,-0.29465280395522114
formulaic responses,-0.1764935684057299,0.27251178897240597,-0.09601822056667572
backchannels,0.12572376077407454,0.13457402102896618,-0.2602977818030401
impersonal subject + non-factive verb + NP,0.0,0.0,0.0
negotiation of meaning,-0.10170836379311142,0.23501700300973066,-0.13330863921661898
subordinate clauses,0.7077293439408275,-0.5297831547741706,-0.17794618916665733
reference word,0.1981720809729999,0.2329458798330292,-0.4311179608060249
feedback in the next turn,0.5629955430387965,-0.4529127625697742,-0.11008278046902258
routinized resources,0.42610431986633096,-0.40762200219004324,-0.018482317676287444
code-switching for communicative purposes,0.19551942818774568,-0.17818312827998026,-0.017336299907765664
intercept,1.0589907180017761,-0.4553019287549959,-0.6036887892467719
