,repeat and no topic extension
impersonal subject + non-factive verb + NP,0.00018313393803082626
code-switching for communicative purposes,0.001929533125097602
collaborative finishes,0.0019319546494837494
feedback in the next turn,0.013447389822384807
routinized resources,0.01790797102273942
subordinate clauses,0.04361974245985816
question-based responses,0.0501116201247545
backchannels,0.07217964495117268
negotiation of meaning,0.0832995566184738
tense choice to indicate interactive aims,0.0856891049541147
formulaic responses,0.11194390206955886
noun & verb collocation in proper form,0.12438181963590514
adjectives/ adverbs expressing possibility,0.12634264330991718
reference word,0.26703198331850875
