,topic extension with clear new context
collaborative finishes,0.015275616172915809
feedback in the next turn,0.019644392061775068
question-based responses,0.025406918897397143
code-switching for communicative purposes,0.036357135796665024
impersonal subject + non-factive verb + NP,0.03714326999986432
routinized resources,0.04742781565391016
negotiation of meaning,0.0486791032332376
formulaic responses,0.053080582198676264
subordinate clauses,0.056641230571164776
tense choice to indicate interactive aims,0.07931523919819122
noun & verb collocation in proper form,0.09698559759661757
adjectives/ adverbs expressing possibility,0.13964039268582618
backchannels,0.15903877172465852
reference word,0.18536393420910038
