,topic_sum
code-switching for communicative purposes,0.008025442965244298
collaborative finishes,0.009524077931445883
routinized resources,0.016421438527123116
feedback in the next turn,0.016566091596976525
impersonal subject + non-factive verb + NP,0.023857763582585005
question-based responses,0.03501112153702041
negotiation of meaning,0.04312930919262247
formulaic responses,0.05145349201869643
subordinate clauses,0.06821082927642348
tense choice to indicate interactive aims,0.08960784790122137
backchannels,0.12230657979304914
noun & verb collocation in proper form,0.12262647711131858
adjectives/ adverbs expressing possibility,0.17396247187256528
reference word,0.21929705669370797
